,Total,by age,disability,in case of loss of breadwinner,for years of seniority,social,financial support of retired judges,military
202201,10841.117,8134.917,1355,524,208,68,3.2,548
202110,10945.145,8229.945,1360,526,210,68,3.2,548
202107,10968.143,8240.443,1365.3,528.9,211.3,69.5,3.3,549.4
202104,11052.849,8316.443,1367.192,530.902,212.345,71.924,3.556,550.487
202101,11130.954,8330.485,1426.553,531.849,214.304,72.843,3.538,551.382
202010,11219.396,8430.1,1425.705,517.744,216.084,74.093,3.487,552.183
202007,11241.834,8449.123,1426.038,517.967,217.964,75.291,3.425,552.026
202004,11268.327,8467.091,1411.732,538.157,218.988,75.791,3.38,553.188
202001,11334.73,8534.558,1405.704,539.097,220.594,77.632,3.378,553.767
201910,11349.187,8588.595,1380.321,521.39,222.62,79.138,3.339,553.784
201907,11349.912,8595.766,1370.016,520.144,225.776,81.178,3.315,553.717
201904,11389.949,8614.536,1367.895,539.023,227.338,82.665,3.307,555.185
201901,11470.405,8693.013,1370.249,536.132,229.732,84.027,3.294,553.958
201810,11437.63,8707.245,1353.143,507.397,231.267,85.592,3.228,549.758
201807,11441.387,8704.166,1349.498,516.49,232.937,87.03,3.174,548.092
201804,11566.389,8790.671,1352.939,545.257,236.072,85.815,3.15,552.485
201801,11725.37,8922.541,1360.957,554.565,239.439,89.712,3.108,555.048
201710,11766.808,8967.664,1363.114,546.738,240.727,90.853,3.072,554.64
201707,11722.656,0,0,0,0,0,0,0
201704,11795.566,0,0,0,0,0,0,0
201701,11956.198,9115.603,1357.293,586.786,239.884,94.867,2.675,559.09
201610,11956.214,0,0,0,0,0,0,0
201607,11964.635,0,0,0,0,0,0,0
201604,12233.97,0,0,0,0,0,0,0
201601,12312.459,9415.743,1371.124,624.781,236.796,101.086,1.411,561.518
201510,12275.138,9418.475,1362.508,599.493,234.393,102.224,1.407,556.638
201507,12251.57,0,0,0,0,0,0,0
201504,12338.593,0,0,0,0,0,0,0
201501,12147.189,9340.595,1359.697,580.154,220.093,106.324,1.333,538.993
201407,12757.443,9831.2,1424.435,628.482,213.643,115.648,1.384,542.651
201401,13533.308,10396.853,1497.508,698.865,218.143,125.162,1.493,595.284
201301,13639.7,10501.412,1477.052,714.303,207.437,134.274,1.36,603.862
201201,13820.5,10627.156,1487.026,743.48,200.422,146.384,1.348,614.684
201101,13737.959,10587.451,1452.032,741.418,188.843,157.608,1.096,609.511
201010,13672.86,0,0,0,0,0,0,0
201007,13671.157,0,0,0,0,0,0,0
201004,13712.811,0,0,0,0,0,0,0
201001,13721.107,10569.391,1499.55,849.715,170.8,171.599,1.011,459.041